"job_location","average_salary","min_salary","median_salary","max_salary","number_of_job_postings","number_of_senior_positions"
"Dahlgren, VA","107250.0","75000.0",117250,"119500.0","4","0"
"Dallas, TX","143475.4","62500.0",133750,"250000.0","58","13"
"Daly City, CA","154276.3","110000.0",150329,"202500.0","3","2"
"Dania Beach, FL","120031.3","100000.0",120031.25,"140062.5","2","0"
"Danvers, MA","117000.0","100000.0",125000,"126000.0","3","2"
"Darien, CT","150000.0","150000.0",150000,"150000.0","1","0"
"Davis, CA","140950.0","107800.0",151650,"151650.0","5","0"
"Dayton, AL","120000.0","120000.0",120000,"120000.0","1","0"
"Dayton, OH","161003.3","90000.0",125000,"375000.0","13","1"
"Dearborn, MI","90000.0","90000.0",90000,"90000.0","3","0"
"Dearing, KS","174000.0","174000.0",174000,"174000.0","1","1"
"Decatur, IL","92470.0","92470.0",92470,"92470.0","1","0"
"Deerfield Beach, FL","96103.0","96103.0",96103,"96103.0","1","0"
"Deerfield, IL","150000.0","150000.0",150000,"150000.0","1","0"
"Delray Beach, FL","156084.5","152669.0",156084.5,"159500.0","2","2"
"Denison, TX","90000.0","90000.0",90000,"90000.0","1","0"
"Denver, CO","135154.8","64800.0",132000,"277500.0","70","13"
"Denver, NC","240000.0","240000.0",240000,"240000.0","1","0"
"Des Moines, IA","138496.9","115000.0",128237.75,"190000.0","8","0"
"Des Peres, MO","177885.5","177885.5",177885.5,"177885.5","1","1"
"Des Plaines, IL","150789.3","115000.0",150000,"189000.0","5","0"
"Detroit, MI","124603.9","100000.0",124207.75,"150000.0","4","1"
"DHS, VA","129624.7","90000.0",137500,"162623.5","5","0"
"Diamond Bar, CA","122338.3","120828.0",122338.25,"123848.5","2","0"
"District Heights, MD","116250.0","116250.0",116250,"116250.0","1","0"
"Docklands VIC, Australia","139216.0","139216.0",139216,"139216.0","1","0"
"Dodgeville, WI","375000.0","375000.0",375000,"375000.0","1","0"
"Doral, FL","145000.0","145000.0",145000,"145000.0","1","0"
"Downers Grove, IL","69962.5","69962.5",69962.5,"69962.5","1","0"
"Downey, CA","176410.0","175000.0",176410,"177820.0","2","0"
"Drancy, France","56700.0","56700.0",56700,"56700.0","1","0"
"Draper, UT","175000.0","150000.0",175000,"200000.0","3","1"
"Dresden, Germany","89100.0","89100.0",89100,"89100.0","1","1"
"Droitwich Spa, Droitwich, UK","69962.5","69962.5",69962.5,"69962.5","1","0"
"Duarte, CA","230000.0","230000.0",230000,"230000.0","1","1"
"Dubai - United Arab Emirates","95604.9","64800.0",75600,"166419.5","4","3"
"Dublin, CA","157500.0","150000.0",157500,"165000.0","2","0"
"Dublin, Ireland","133126.2","53416.5",157500,"166419.5","7","3"
"Dublin, OH","128250.0","115000.0",127250,"143500.0","4","3"
"Dulles, VA","128050.0","128050.0",128050,"128050.0","1","1"
"Duluth, GA","125000.0","125000.0",125000,"125000.0","1","0"
"Duncanville, TX","110000.0","110000.0",110000,"110000.0","1","0"
"Dunwoody, GA","112500.0","110000.0",112500,"115000.0","2","0"
"Dupo, IL","100000.0","100000.0",100000,"100000.0","1","0"
"Durban, South Africa","149946.5","149946.5",149946.5,"149946.5","1","0"
"Durham, NC","130496.6","86000.0",131299.25,"166677.0","14","2"
"Düsseldorf, Germany","69962.5","69962.5",69962.5,"69962.5","1","0"
"Eagan, TN","375000.0","375000.0",375000,"375000.0","1","0"
"East Hanover, NJ","171000.0","171000.0",171000,"171000.0","1","0"
"East Peoria, IL","125000.0","125000.0",125000,"125000.0","1","1"
"East St Louis, IL","35000.0","35000.0",35000,"35000.0","1","0"
"East Syracuse, NY","122500.0","122500.0",122500,"122500.0","2","0"
"Eden Prairie, MN","134350.0","114550.0",126000,"162500.0","3","2"
"Edgewater, NJ","115000.0","115000.0",115000,"115000.0","1","0"
"Edinburgh, UK","101920.8","69962.5",105300,"130500.0","3","1"
"Edison, NJ","202500.0","180000.0",202500,"225000.0","2","0"
"Edmonton, AB, Canada","69962.5","69962.5",69962.5,"69962.5","1","0"
"Eglin AFB, FL","115000.0","115000.0",115000,"115000.0","1","1"
"Egypt","70000.0","70000.0",70000,"70000.0","1","0"
"Eindhoven, Netherlands","89100.0","72900.0",89100,"105300.0","2","1"
"El Dorado Hills, CA","150000.0","150000.0",150000,"150000.0","1","0"
"El Paso, TX","85310.0","85310.0",85310,"85310.0","1","0"
"El Segundo, CA","144624.3","88000.0",137500,"281070.0","8","1"
"Elk Grove Village, IL","106900.0","87500.0",116600,"116600.0","3","2"
"Elk Grove, CA","145513.5","145513.453125",145513.453125,"145513.453125","1","0"
"Elkhart, IN","92500.0","92500.0",92500,"92500.0","1","0"
"Elkridge, MD","119257.0","119257.0",119257,"119257.0","1","0"
"Ellenwood, GA","112450.0","112450.0",112450,"112450.0","1","1"
"Ellicott City, MD","90000.0","90000.0",90000,"90000.0","1","0"
"Emeryville, CA","142311.5","122500.0",139373,"168000.0","4","2"
"England, AR","97000.0","97000.0",97000,"97000.0","1","1"
"Englewood, CO","125050.0","79900.0",121275,"153500.0","12","5"
"Enkhuizen, Netherlands","157500.0","157500.0",157500,"157500.0","1","0"
"Erlangen, Germany","224500.0","224500.0",224500,"224500.0","1","1"
"Erlanger, KY","85000.0","85000.0",85000,"85000.0","1","0"
"Espoo, Finland","88128.0","88128.0",88128,"88128.0","1","1"
"Euless, TX","112025.0","112025.0",112025,"112025.0","1","1"
"Fairborn, OH","90000.0","90000.0",90000,"90000.0","1","0"
"Fairfax, VA","117456.5","92433.0",110000,"177500.0","15","1"
"Fairview Heights, IL","57118.0","57118.0",57118,"57118.0","1","0"
"Falls Church, VA","114940.0","95700.0",109500,"154000.0","5","0"
"Fayetteville, NC","114540.0","95000.0",110000,"152700.0","5","2"
"Fes, Morocco","70000.0","70000.0",70000,"70000.0","1","0"
"Fishers, IN","90000.0","90000.0",90000,"90000.0","1","0"
"Florahome, FL","119257.0","119257.0",119257,"119257.0","1","0"
"Florham Park, NJ","140282.0","123064.0",140282,"157500.0","2","0"
"Florida","146496.2","103500.0",119550,"267875.0","9","3"
"Florida City, FL","75000.0","70000.0",75000,"80000.0","2","0"
"Florida, MA","70000.0","70000.0",70000,"70000.0","1","0"
"Florida, OH","70000.0","70000.0",70000,"70000.0","2","0"
"Flushing, NY","125000.0","125000.0",125000,"125000.0","1","0"
"Folsom, CA","114500.0","114500.0",114500,"114500.0","2","0"
"Fontana, CA","97500.0","97500.0",97500,"97500.0","1","0"
"Fort Belvoir, VA","128083.1","88250.0",144360.75,"165000.0","8","1"
"Fort Bragg, NC","172990.6","69962.5",123500,"375000.0","4","0"
"Fort Collins, CO","105666.7","90000.0",102500,"124500.0","3","1"
"Fort Lauderdale, FL","103528.6","67500.0",91800,"200000.0","7","5"
"Fort Liberty, NC","102755.0","86293.0",100500,"115000.0","6","0"
"Fort Madison, IA","77500.0","77500.0",77500,"77500.0","1","0"
"Fort Meade, FL","145250.0","125000.0",145250,"165500.0","2","1"
"Fort Meade, MD","131582.2","90670.0",123692.5,"165000.0","15","0"
"Fort Mill, SC","142572.3","135144.5",142572.25,"150000.0","2","1"
"Fort Moore, GA","133850.5","133850.5",133850.5,"133850.5","1","0"
"Fort Smith, AR","135144.5","135144.5",135144.5,"135144.5","1","1"
"Fort Stewart, GA","138750.0","138750.0",138750,"138750.0","1","1"
"Fort Walton Beach, FL","67500.0","67500.0",67500,"67500.0","1","0"
"Fort Washington, MD","120000.5","120000.5",120000.5,"120000.5","1","0"
"Fort Wayne, IN","100000.0","100000.0",100000,"100000.0","1","0"
"Fort Worth, TX","159595.5","59480.0",151087.25,"375000.0","10","2"
"Foster City, CA","158322.7","65000.0",144000,"255000.0","11","4"
"Foster City, MI","150000.0","150000.0",150000,"150000.0","1","1"
"Framingham, MA","155000.0","155000.0",155000,"155000.0","1","1"
"France","109307.8","56700.0",90000,"164000.0","7","0"
"Frankfort, KY","161500.0","161500.0",161500,"161500.0","1","0"
"Frankfurt, Germany","169000.0","157500.0",157500,"192000.0","3","2"
"Franklin Township, NJ","141000.0","141000.0",141000,"141000.0","2","2"
"Franklin, TN","100000.0","100000.0",100000,"100000.0","1","0"
"Frauenfeld, Switzerland","109500.0","109500.0",109500,"109500.0","1","0"
"Frederick, MD","97000.0","97000.0",97000,"97000.0","1","0"
"Fremont, CA","160882.4","85000.0",150000,"350000.0","17","4"
"Frisco, TX","164680.0","80000.0",175000,"227500.0","10","3"
"Gainesville, FL","93750.0","82500.0",91250,"105000.0","6","0"
"Gaithersburg, MD","88800.0","87600.0",88800,"90000.0","2","0"
"Galveston, TX","115000.0","115000.0",115000,"115000.0","1","1"
"Gdańsk, Poland","89100.0","89100.0",89100,"89100.0","2","2"
"Geneva, Switzerland","95355.4","64821.5",79550,"157500.0","4","0"
"George Town, Penang, Malaysia","163525.0","163525.0",163525,"163525.0","1","0"
"Georgia","107481.5","35000.0",111946.5,"170000.0","6","0"
"Germantown, MD","150000.0","150000.0",150000,"150000.0","1","0"
"Germantown, TN","103128.0","103128.0",103128,"103128.0","1","0"
"Germany","132529.0","90931.0",134032,"171121.0","4","1"
"Gilbert, AZ","115396.3","90670.0",120000,"135519.0","3","1"
"Gland, Switzerland","69962.5","69962.5",69962.5,"69962.5","1","0"
"Glen Allen, VA","107500.0","90000.0",107500,"125000.0","2","1"
"Glendale, CA","151000.0","125000.0",160000,"160000.0","5","3"
"Glendale, CO","192500.0","192500.0",192500,"192500.0","1","1"
"Gloucester, MA","69107.0","69107.0",69107,"69107.0","1","0"
"Golden Valley, MN","100000.0","100000.0",100000,"100000.0","1","0"
"Golden, CO","91550.0","80400.0",85450,"108800.0","3","0"
"Golspie, UK","111500.0","111500.0",111500,"111500.0","1","0"
"Gordon, GA","120223.9","108415.5",125000,"127256.0625","3","0"
"Gothenburg, Sweden","90670.0","90670.0",90670,"90670.0","1","0"
"Grand Junction, CO","90009.0","84692.0",90009,"95326.0","2","0"
"Grand Prairie, TX","125000.0","125000.0",125000,"125000.0","1","1"
"Grand Rapids, MI","91344.2","85000.0",90000,"99032.71875","3","0"
"Great Neck, NY","81250.0","80000.0",81250,"82500.0","2","0"
"Greece","89100.0","89100.0",89100,"89100.0","2","0"
"Green Bay, WI","142500.0","142500.0",142500,"142500.0","1","0"
"Greensboro, NC","140998.0","140998.0",140998,"140998.0","1","0"
"Greensburg, IN","75000.0","75000.0",75000,"75000.0","1","0"
"Greenwich, CT","134500.0","77500.0",135000,"165000.0","5","0"
"Greenwood Village, CO","128557.1","78900.0",139000,"153500.0","7","0"
"Grenoble, France","107100.0","56700.0",107100,"157500.0","2","0"
"Guadalajara, Jalisco, Mexico","144695.0","90670.0",157500,"157500.0","6","1"
"Guaynabo, Puerto Rico","375000.0","375000.0",375000,"375000.0","1","1"
"Guelph, ON, Canada","125000.0","125000.0",125000,"125000.0","1","0"
"Gurugram, Haryana, India","76464.0","50400.0",83664,"88128.0","4","0"
"Hamburg, Germany","121244.0","56700.0",135388,"157500.0","4","1"
"Hanover, MD","117466.7","62400.0",125000,"165000.0","3","0"
"Hapeville, GA","88791.0","88791.0",88791,"88791.0","1","0"
"Harare, Zimbabwe","69085.0","47500.0",69085,"90670.0","2","0"
"Harrisburg, PA","140146.7","86940.0",161500,"172000.0","3","0"
"Harrison, NJ","99486.0","99486.0",99486,"99486.0","1","0"
"Harrisonburg, VA","138000.0","65000.0",138000,"211000.0","2","0"
"Hartford, CT","162534.7","95700.0",161500,"218500.0","22","6"
"Hayward, CA","125500.0","125500.0",125500,"125500.0","2","0"
"Hazelwood, MO","136125.0","100000.0",142000,"160500.0","4","1"
"Helsinki, Finland","145354.7","121064.0",157500,"157500.0","3","1"
"Hemet, CA","100000.0","100000.0",100000,"100000.0","1","0"
"Henderson, NV","150000.0","150000.0",150000,"150000.0","1","0"
"Heredia Province, Heredia, Costa Rica","105201.7","63000.0",99150,"157500.0","6","0"
"Herndon, VA","130577.2","66500.0",140072.25,"190000.0","30","5"
"Hershey, PA","158500.0","158500.0",158500,"158500.0","1","0"
"Herzliya, Israel","157500.0","157500.0",157500,"157500.0","1","1"
"Hicksville, NY","132166.7","128500.0",134000,"134000.0","3","2"
"Highlands Ranch, CO","157500.0","157500.0",157500,"157500.0","1","0"
"Ho Chi Minh City, Vietnam","124266.7","79200.0",93600,"200000.0","3","1"
"Hoboken, NJ","145000.0","135000.0",150000,"150000.0","3","3"
"Hollywood, FL","90000.0","90000.0",90000,"90000.0","1","0"
"Holmdel, NJ","174180.0","147787.5",174466.25,"200000.0","4","2"
"Home, PA","131650.0","131650.0",131650,"131650.0","1","1"
"Homer City, PA","90000.0","90000.0",90000,"90000.0","1","1"
"Homestead, FL","77320.3","73639.0",73639,"84683.0","3","0"
"Homestead, PA","90000.0","90000.0",90000,"90000.0","1","0"
"Hondo, TX","133340.0","133340.0",133340,"133340.0","1","0"
"Hong Kong","94675.0","50400.0",97900,"132500.0","4","1"
"Hopkinton, MA","125000.0","125000.0",125000,"125000.0","1","1"
"Horsham, PA","124500.0","124500.0",124500,"124500.0","1","0"
"Houma, LA","106926.5","106926.5",106926.5,"106926.5","1","0"
"House Springs, MO","200000.0","200000.0",200000,"200000.0","1","0"
"Houston, MN","174667.5","174667.5",174667.5,"174667.5","1","0"
"Houston, TX","128877.5","65000.0",126000,"281450.5","81","14"
"Hudson, NY","150000.0","150000.0",150000,"150000.0","1","1"
"Hull, UK","73354.8","33488.5",73354.75,"113221.0","2","0"
"Hungary","88133.3","70000.0",89100,"105300.0","3","1"
"Huntsville, AL","128209.5","75000.0",115000,"214000.0","45","7"
"Hurlburt Field, FL","88788.7","46696.0",90670,"129000.0","3","2"
"Hyattsville, MD","150000.0","150000.0",150000,"150000.0","1","0"
"Hyderabad, Telangana, India","109734.9","64800.0",90670,"157500.0","15","3"
"Ibadan, Nigeria","166419.5","166419.5",166419.5,"166419.5","1","0"
"Idaho Falls, ID","155500.0","155500.0",155500,"155500.0","1","0"
"Illinois","124000.0","124000.0",124000,"124000.0","1","0"
"Illinois City, IL","97500.0","70000.0",97500,"125000.0","2","0"
"Immenstadt, Germany","56700.0","56700.0",56700,"56700.0","1","0"
"India","145250.6","43200.0",160000,"204381.0","26","8"
"Indiana","70000.0","70000.0",70000,"70000.0","1","0"
"Indiana, PA","113269.5","113269.5",113269.5,"113269.5","1","0"
"Indianapolis, IN","95546.3","54423.203125",90000,"150000.0","18","1"
"Ireland","89100.0","89100.0",89100,"89100.0","1","0"
"Irvine, CA","145358.5","52500.0",147750,"212500.0","16","4"
"Irving, TX","119523.0","51862.75",118300,"157500.0","44","5"
"Iselin, NJ","130000.0","130000.0",130000,"130000.0","2","0"
"Islamabad, Pakistan","119313.3","90940.0",109500,"157500.0","3","1"
"Israel","94350.0","79200.0",94350,"109500.0","2","1"
"Issy-les-Moulineaux, France","56700.0","56700.0",56700,"56700.0","1","0"
"İstanbul, Türkiye","69899.6","47370.0",70000,"88128.0","5","1"
"Italy","87083.3","70000.0",80064,"118205.0","4","0"
"Itasca, IL","111767.0","80230.0",111767,"143304.0","2","0"
"Ithaca, NY","125000.0","125000.0",125000,"125000.0","1","1"
"Jackson, MS","160056.3","119175.0",167525,"186000.0","4","1"
"Jackson, TN","115441.3","90000.0",115441.25,"140882.5","2","1"
"Jacksonville Beach, FL","120000.0","120000.0",120000,"120000.0","1","0"
"Jacksonville, FL","132817.7","54207.5",117500,"205000.0","18","3"
"Jacksonville, NC","98529.6","98529.578125",98529.578125,"98529.578125","1","0"
"Jaipur, Rajasthan, India","157500.0","157500.0",157500,"157500.0","1","0"
"Jakarta, Indonesia","100760.5","50400.0",84600.25,"157500.0","6","2"
"Japan","148957.1","79200.0",157500,"212000.0","7","3"
"Jefferson City, MO","76839.0","76839.0",76839,"76839.0","1","1"
"Jeffersontown, KY","195000.0","195000.0",195000,"195000.0","1","1"
"Jersey City, NJ","123322.9","55000.0",120000,"236040.0","23","3"
"Jessup, MD","222589.0","222589.0",222589,"222589.0","1","1"
"Johannesburg, South Africa","90219.1","44100.0",70000,"157500.0","13","0"
"John C. Stennis Space Center, MS","98004.2","66000.0",106000,"115000.0","6","0"
"Johns Creek, GA","105000.0","85000.0",105000,"125000.0","2","0"
"Johnston, RI","132292.5","95000.0",137500,"155000.0","6","1"
"Joliet, IL","149946.5","149946.5",149946.5,"149946.5","1","0"
"Jonesboro, AR","65000.0","65000.0",65000,"65000.0","1","0"
"Kalamazoo, MI","63000.0","63000.0",63000,"63000.0","1","0"
"Kampala, Uganda","84200.0","84200.0",84200,"84200.0","1","0"
"Kansas","151500.0","127500.0",151500,"175500.0","6","0"
"Kansas City, KS","80000.0","80000.0",80000,"80000.0","1","0"
"Kansas City, MO","112189.3","90000.0",107000,"149946.5","5","0"
"Karlsruhe, Germany","56700.0","56700.0",56700,"56700.0","2","0"
"Katowice, Poland","157500.0","157500.0",157500,"157500.0","1","1"
"Katy, TX","77500.0","77500.0",77500,"77500.0","2","0"
"Kechi, KS","155000.0","155000.0",155000,"155000.0","1","0"
"Kefar Sava, Israel","50400.0","50400.0",50400,"50400.0","1","0"
"Keller, TX","131890.0","131890.0",131890,"131890.0","1","1"
"Kenilworth, NJ","144000.0","144000.0",144000,"144000.0","1","0"
"Kennesaw, GA","90000.0","90000.0",90000,"90000.0","1","1"
"Kennett Square, PA","114000.0","114000.0",114000,"114000.0","1","0"
"Kentucky","145000.0","145000.0",145000,"145000.0","1","0"
"Kentwood, MI","87500.0","87500.0",87500,"87500.0","1","0"
"King of Prussia, PA","225000.0","225000.0",225000,"225000.0","2","0"
"Kissimmee, FL","90000.0","90000.0",90000,"90000.0","1","0"
"Knoxville, TN","98750.0","72500.0",98750,"125000.0","2","0"
"Kolding, Denmark","107575.0","105650.0",107575,"109500.0","2","0"
"Košice, Slovakia","157500.0","157500.0",157500,"157500.0","1","0"
"Kraków, Poland","136018.9","88128.0",157500,"162500.0","7","1"
"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia","79200.0","79200.0",79200,"79200.0","1","0"
"Kukës, Albania","113731.3","69962.5",113731.25,"157500.0","2","1"
"Kusterdingen, Germany","67500.0","56700.0",56700,"89100.0","3","0"
"Kyiv, Ukraine","115131.0","56700.0",131193,"157500.0","3","0"
"La Jolla, CA","85637.5","80025.0",85637.5,"91250.0","2","0"
"La Plata, MD","165000.0","165000.0",165000,"165000.0","1","0"
"Ladera Ranch, CA","175000.0","175000.0",175000,"175000.0","1","0"
"Lagos, Nigeria","69962.5","69962.5",69962.5,"69962.5","1","0"
"Laguna Hills, CA","150000.0","150000.0",150000,"150000.0","1","1"
"Lahore, Pakistan","157500.0","157500.0",157500,"157500.0","1","0"
"Lake Buena Vista, FL","117500.0","100000.0",117500,"135000.0","2","0"
"Lake Forest, CA","133333.3","90000.0",155000,"155000.0","3","1"
"Lake Mary, FL","122600.0","90000.0",108000,"200000.0","5","0"
"Lakewood, CA","88791.0","88791.0",88791,"88791.0","1","0"
"Lakewood, CO","99601.0","46696.0",109107,"143000.0","3","1"
"Lancaster, NY","67500.0","67500.0",67500,"67500.0","1","0"
"Lancy, Switzerland","89100.0","89100.0",89100,"89100.0","1","1"
"Lanham, MD","108175.0","80025.0",109500,"135000.0","3","0"
"Lansing, MI","112738.5","63977.0",112738.5,"161500.0","2","0"
"Laramie, WY","58818.5","58818.5",58818.5,"58818.5","1","0"
"Las Vegas, NV","133000.0","90000.0",135000,"175000.0","5","1"
"Laurel, MD","97338.3","90000.0",90000,"112015.0","3","0"
"Lausanne, Switzerland","86400.0","86400.0",86400,"86400.0","1","1"
"Le Plessis-Robinson, France","147500.0","147500.0",147500,"147500.0","1","0"
"Lehi, UT","124166.7","90000.0",125000,"157500.0","3","1"
"Leinfelden-Echterdingen, Germany","157500.0","157500.0",157500,"157500.0","1","0"
"Lemont, IL","90000.0","90000.0",90000,"90000.0","2","0"
"Lenexa, KS","177283.0","177283.0",177283,"177283.0","1","0"
"Lexington Park, MD","140250.0","135000.0",140250,"145500.0","2","0"
"Lexington, KY","91036.4","74235.0",74235,"157500.0","5","1"
"Lexington, MA","130006.3","115000.0",123500,"158025.0","4","2"
"Lexington, SC","101666.7","90000.0",90000,"125000.0","3","1"
"Liberty, NC","250000.0","125000.0",250000,"375000.0","2","0"
"Lille, France","72900.0","72900.0",72900,"72900.0","1","0"
"Lincoln, NE","112214.3","108000.0",112250,"116393.0","3","0"
"Linden, NJ","117500.0","117500.0",117500,"117500.0","1","0"
"Linthicum Heights, MD","153085.7","119257.0",165000,"175000.0","3","0"
"Lisbon, Portugal","139844.8","70000.0",152500,"166419.5","14","6"
"Lisle, IL","120000.0","90000.0",120000,"150000.0","2","1"
"Lithuania","155000.0","155000.0",155000,"155000.0","1","0"
"Little Chesterford, Saffron Walden, UK","166941.5","166941.5",166941.5,"166941.5","1","0"
"Little Rock, AR","216972.0","216972.0",216972,"216972.0","1","0"
"Littleton, CO","119285.7","100000.0",122500,"150000.0","7","2"
"Livermore, CA","164158.7","145476.0",173500,"173500.0","3","0"
"Ljubljana, Slovenia","157500.0","157500.0",157500,"157500.0","1","1"
"London, OH","150000.0","150000.0",150000,"150000.0","1","0"
"London, UK","116871.5","51068.0",105869.75,"192000.0","68","23"
"Lone Tree, CO","108174.0","101348.0",108174,"115000.0","2","0"
"Long Beach, CA","115000.0","115000.0",115000,"115000.0","1","0"
"Long Island City, NY","125000.0","125000.0",125000,"125000.0","1","0"
"Lorain, OH","135359.3","135359.34375",135359.34375,"135359.34375","1","0"
"Lorton, VA","109500.0","109500.0",109500,"109500.0","1","0"
"Los Alamos, NM","130464.3","115000.0",116393,"160000.0","3","0"
"Los Angeles, CA","159174.2","42360.0",152290,"300000.0","98","25"
"Los Angeles, CA   (+2 others)","185000.0","185000.0",185000,"185000.0","1","0"
"Los Angeles, CA (+1 other)","225000.0","225000.0",225000,"225000.0","1","0"
"Los Gatos, CA","246666.7","90000.0",200000,"450000.0","3","0"
"Louisiana, MO","90000.0","90000.0",90000,"90000.0","1","0"
"Louisville, KY","109166.7","80000.0",95000,"165000.0","6","0"
"Lubbock, TX","130501.7","100000.0",141558.5,"149946.5","3","1"
"Lugano, Switzerland","131560.0","131560.0",131560,"131560.0","1","0"
"Lusaka, Zambia","90670.0","90670.0",90670,"90670.0","1","0"
"Luxembourg","149166.7","132500.0",157500,"157500.0","3","0"
"Lviv, Lviv Oblast, Ukraine","145000.0","132500.0",145000,"157500.0","2","1"
"Mableton, GA","115000.0","115000.0",115000,"115000.0","1","0"
"Macon, GA","149946.5","149946.5",149946.5,"149946.5","1","0"
"Madison, IL","100000.0","100000.0",100000,"100000.0","1","0"
"Madison, SD","960000.0","960000.0",960000,"960000.0","1","0"
"Madison, WI","124375.0","75000.0",132500,"157500.0","4","0"
"Madrid, Spain","107527.2","56700.0",89100,"170575.0","9","3"
"Maine, ME","70000.0","70000.0",70000,"70000.0","1","0"
"Mainz, Germany","56700.0","56700.0",56700,"56700.0","1","0"
"Makati, Metro Manila, Philippines","86900.0","72000.0",79200,"109500.0","3","1"
"Malaysia","50400.0","50400.0",50400,"50400.0","1","0"
"Malvern, PA","125000.0","125000.0",125000,"125000.0","1","1"
"Manassas, VA","109500.0","109500.0",109500,"109500.0","1","0"
"Manchester, NH","169166.7","162500.0",172500,"172500.0","3","0"
"Manchester, UK","157500.0","157500.0",157500,"157500.0","1","1"
"Mandaluyong, Metro Manila, Philippines","50400.0","50400.0",50400,"50400.0","2","0"
"Manhasset, NY","77600.0","77599.9609375",77599.9609375,"77599.9609375","1","0"
"Manhattan Beach, CA","160000.0","160000.0",160000,"160000.0","1","1"
"Manhattan, KS","150000.0","150000.0",150000,"150000.0","1","1"
"Manila, AR","65000.0","65000.0",65000,"65000.0","1","0"
"Manila, Metro Manila, Philippines","89300.0","79200.0",79200,"109500.0","3","0"
"Marengo, IL","222589.0","222589.0",222589,"222589.0","1","1"
"Marietta, GA","95000.0","95000.0",95000,"95000.0","2","0"
"Marshall, VA","109500.0","109500.0",109500,"109500.0","1","0"
"Maryland","124857.4","94199.0",119908,"176500.0","20","1"
"Maslak, Sarıyer/İstanbul, Türkiye","72000.0","72000.0",72000,"72000.0","1","0"
"Mason, OH","125000.0","125000.0",125000,"125000.0","1","1"
"Massachusetts","140000.0","140000.0",140000,"140000.0","1","0"
"McCamey, TX","79019.0","79019.0",79019,"79019.0","1","0"
"McGuire AFB, NJ","115000.0","115000.0",115000,"115000.0","1","0"
"McKinney, TX","170874.5","162623.5",175000,"175000.0","3","2"
"McLean, VA","130235.7","75000.0",118000,"218000.0","51","4"
"McRae-Helena, GA","101014.0","101014.0",101014,"101014.0","1","0"
"Medellín, Medellin, Antioquia, Colombia","79200.0","79200.0",79200,"79200.0","1","1"
"Medford, MA","90000.0","90000.0",90000,"90000.0","1","1"
"Meinerzhagen, Germany","157500.0","157500.0",157500,"157500.0","1","0"
"Melbourne VIC, Australia","157500.0","157500.0",157500,"157500.0","3","3"
"Melbourne, FL","130260.0","78300.0",150000,"154000.0","5","2"
"Memphis, TN","120601.1","80000.0",114207.96875,"190000.0","7","0"
"Menlo Park, CA","210672.2","90000.0",198500,"463500.0","59","9"
"Merrifield, VA","134475.0","109500.0",141200,"146000.0","4","0"
"Mesa, AZ","127989.3","107000.0",134000,"149946.5","5","0"
"Mesquite, TX","116600.0","116600.0",116600,"116600.0","1","1"
"Mexico","106550.0","63000.0",99150,"157500.0","3","0"
"Mexico City, CDMX, Mexico","126795.7","63000.0",132500,"173000.0","19","8"
"Mexico, MO","90000.0","90000.0",90000,"90000.0","1","0"
"Meyrin, Switzerland","157500.0","157500.0",157500,"157500.0","1","0"
"Miami Beach, FL","87500.0","87500.0",87500,"87500.0","1","1"
"Miami, FL","108713.2","43000.0",100000,"175000.0","17","2"
"Middleton, WI","97500.0","97500.0",97500,"97500.0","1","0"
"Midland, TX","177572.3","135144.5",177572.25,"220000.0","2","1"
"Midrand, South Africa","100800.0","44100.0",100800,"157500.0","2","1"
"Milan, IL","125000.0","125000.0",125000,"125000.0","1","0"
"Milan, Metropolitan City of Milan, Italy","88331.6","56700.0",72900,"157500.0","7","3"
"Milpitas, CA","116950.0","116950.0",116950,"116950.0","1","0"
"Milwaukee, WI","115866.7","90000.0",100100,"165000.0","6","1"
"Minneapolis, MN","106964.8","37107.19921875",115000,"176273.5","29","8"
"Minnesota","126000.0","126000.0",126000,"126000.0","1","0"
"Minnetonka, MN","113800.0","100400.0",115000,"126000.0","3","2"
"Mississauga, ON, Canada","148750.0","122500.0",148750,"175000.0","2","0"
"Mississippi","69107.0","69107.0",69107,"69107.0","1","0"
"Missouri City, MO","110000.0","110000.0",110000,"110000.0","1","0"
"Modesto, CA","60000.0","60000.0",60000,"60000.0","1","0"
"Moline, IL","133850.5","133850.5",133850.5,"133850.5","1","0"
"Moncks Corner, SC","108415.5","108415.5",108415.5,"108415.5","1","0"
"Monroe, OH","90000.0","90000.0",90000,"90000.0","1","0"
"Montclair, NJ","100000.0","100000.0",100000,"100000.0","1","1"
"Montevideo, MN","81311.5","81311.5",81311.5,"81311.5","1","0"
"Montgomery County, MD","132368.0","132368.0",132368,"132368.0","1","0"
"Montgomery, AL","134000.0","134000.0",134000,"134000.0","1","0"
"Montpellier, France","157500.0","157500.0",157500,"157500.0","1","1"
"Montreal, MO","126268.0","126268.0",126268,"126268.0","1","1"
"Montreal, QC, Canada","104716.7","90000.0",99150,"125000.0","3","1"
"Montrouge, France","79950.0","50400.0",79950,"109500.0","2","0"
"Mooresville, NC","114733.3","97800.0",121400,"125000.0","3","1"
"Morgantown, WV","103929.0","88393.5",88393.5,"135000.0","3","1"
"Morris Plains, NJ","250000.0","150000.0",250000,"350000.0","2","1"
"Morrisville, NC","125000.0","125000.0",125000,"125000.0","1","0"
"Morton, IL","125000.0","90000.0",110000,"175000.0","3","0"
