"job_location","average_salary","min_salary","median_salary","max_salary","number_of_job_postings","number_of_senior_positions"
"Vienna, Austria","80850.0","80850.0",80850,"80850.0","1","1"
"Vienna, VA","140355.4","115750.0",141420,"157500.0","13","0"
"Vietnam","60200.0","50400.0",60200,"70000.0","4","0"
"Villa Park, IL","90000.0","90000.0",90000,"90000.0","1","0"
"Vilnius, Vilnius City Municipality, Lithuania","157500.0","157500.0",157500,"157500.0","1","0"
"Virginia","126753.4","99714.0",123437,"255000.0","29","0"
"Virginia Beach, VA","115300.0","65000.0",99750,"199837.5","8","1"
"Virginia, MN","125000.0","125000.0",125000,"125000.0","1","0"
"Waldorf, MD","116250.0","116250.0",116250,"116250.0","1","0"
"Waller, TX","102500.0","102500.0",102500,"102500.0","1","0"
"Wallops Island, VA","150837.8","120631.0",140517.5,"201685.0","4","0"
"Walnut Creek, CA","141250.0","70000.0",141250,"212500.0","2","0"
"Waltham, MA","135888.9","95000.0",143500,"175000.0","9","2"
"Warminster, PA","110000.0","110000.0",110000,"110000.0","1","0"
"Warner Robins, GA","109500.0","109500.0",109500,"109500.0","1","0"
"Warren, NJ","141250.0","125000.0",140000,"160000.0","4","0"
"Warrensburg, MO","125654.5","125654.5",125654.5,"125654.5","1","0"
"Warsaw, Poland","115784.3","43200.0",131867,"157500.0","19","4"
"Washington, DC","128020.2","53105.0",126676.5,"229782.0","166","20"
"Washington, PA","109578.5","99900.0",109578.5,"119257.0","2","0"
"Washington, UK","154000.0","154000.0",154000,"154000.0","1","0"
"Washington, VA","151782.0","151782.0",151782,"151782.0","1","1"
"Wasquehal, France","89100.0","89100.0",89100,"89100.0","1","1"
"Waukegan, IL","125000.0","125000.0",125000,"125000.0","2","1"
"Waukesha, WI","115000.0","115000.0",115000,"115000.0","1","0"
"Wayzata, MN","90000.0","90000.0",90000,"90000.0","1","0"
"Weatherby Lake, MO","115000.0","115000.0",115000,"115000.0","1","0"
"Wellesley, MA","116035.7","105000.0",105000,"152000.0","7","1"
"Wellington, New Zealand","79200.0","79200.0",79200,"79200.0","1","1"
"Wentzville, MO","86250.0","77500.0",86250,"95000.0","2","0"
"West Columbia, SC","57500.0","57500.0",57500,"57500.0","1","0"
"West Hollywood, CA","103636.4","64500.0",105700,"157500.0","11","0"
"West Logan, WV","126741.7","99000.0",123187.5,"166075.0","6","0"
"West McLean, VA","90000.0","90000.0",90000,"90000.0","1","1"
"West Miami, FL","100000.0","100000.0",100000,"100000.0","1","0"
"West Sacramento, CA","108969.7","99150.0",110808.953125,"116950.0","3","0"
"West Virginia","56500.0","30000.0",30000,"109500.0","3","0"
"West Warwick, RI","105800.0","105800.0",105800,"105800.0","1","0"
"Westerville, OH","90000.0","90000.0",90000,"90000.0","1","0"
"Westlake, TX","141861.4","111000.0",135954.5625,"174259.0","6","1"
"Weston, FL","165000.0","165000.0",165000,"165000.0","1","0"
"Westwood, MA","132790.0","120080.0",132790,"145500.0","2","1"
